Service,Source,Duration,Accuracy
Speech Recognition (CMU Sphinx),audiofiles\list1.wav,13.874560500000001,0.17721518987341767
VOSK (trained with Daanzu),audiofiles\list1.wav,15.696181199999998,0.8227848101265822
